Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Day,Month,Year,Dep_Hr,Dep_Min,Arr_Hr,Arr_Min,Duration_Hr,Duration_Min,Price
IndiGo,15/06/2019,Delhi,Cochin,DEL / HYD / COK,07:35,22:30,14:55,1,No Info,15,6,2019,7,35,22,30,14,55,6442
Jet Airways,27/06/2019,Delhi,Cochin,DEL / BOM / COK,09:00,12:35,27:35,1,In-flight meal not included,27,6,2019,9,0,12,35,27,35,10262
Jet Airways,12/03/2019,Banglore,New Delhi,BLR / BOM / DEL,18:55,09:30,14:35,1,No Info,12,3,2019,18,55,9,30,14,35,13817
Jet Airways,12/06/2019,Kolkata,Banglore,CCU / BOM / BLR,14:05,23:35,9:30,1,No Info,12,6,2019,14,5,23,35,9,30,13626
Jet Airways,12/05/2019,Kolkata,Banglore,CCU / BOM / BLR,18:55,10:05,15:10,1,No Info,12,5,2019,18,55,10,5,15,10,14388
IndiGo,27/04/2019,Kolkata,Banglore,CCU / BLR,04:40,07:15,2:35,0,No Info,27,4,2019,4,40,7,15,2,35,4804
IndiGo,21/03/2019,Delhi,Cochin,DEL / COK,14:30,17:35,3:5,0,No Info,21,3,2019,14,30,17,35,3,5,5406
SpiceJet,3/04/2019,Delhi,Cochin,DEL / BLR / COK,17:55,22:50,4:55,1,No Info,3,4,2019,17,55,22,50,4,55,4611
IndiGo,9/06/2019,Kolkata,Banglore,CCU / MAA / BLR,08:10,13:00,4:50,1,No Info,9,6,2019,8,10,13,0,4,50,5069
GoAir,6/06/2019,Banglore,Delhi,BLR / DEL,07:45,10:40,2:55,0,No Info,6,6,2019,7,45,10,40,2,55,3898
IndiGo,6/06/2019,Mumbai,Hyderabad,BOM / HYD,12:00,13:30,1:30,0,No Info,6,6,2019,12,0,13,30,1,30,2754
Multiple carriers,27/05/2019,Delhi,Cochin,DEL / BOM / COK,15:00,01:30,10:30,1,In-flight meal not included,27,5,2019,15,0,1,30,10,30,6943
Jet Airways,18/05/2019,Kolkata,Banglore,CCU / BOM / BLR,05:45,18:15,12:30,1,No Info,18,5,2019,5,45,18,15,12,30,14781
Jet Airways,21/05/2019,Delhi,Cochin,DEL / BOM / COK,13:00,19:00,6h,1,No Info,21,5,2019,13,0,19,0,6,0,16079
IndiGo,15/03/2019,Banglore,New Delhi,BLR / DEL,16:55,19:45,2:50,0,No Info,15,3,2019,16,55,19,45,2,50,8033
IndiGo,09/03/2019,Banglore,New Delhi,BLR / DEL,18:25,21:20,2:55,0,No Info,9,3,2019,18,25,21,20,2,55,6860
Multiple carriers,27/03/2019,Delhi,Cochin,DEL / BOM / COK,11:40,19:15,7:35,1,No Info,27,3,2019,11,40,19,15,7,35,6953
IndiGo,12/05/2019,Banglore,Delhi,BLR / DEL,07:10,10:05,2:55,0,No Info,12,5,2019,7,10,10,5,2,55,4823
IndiGo,9/04/2019,Kolkata,Banglore,CCU / BLR,04:40,07:15,2:35,0,No Info,9,4,2019,4,40,7,15,2,35,4174
Jet Airways,27/06/2019,Delhi,Cochin,DEL / AMD / BOM / COK,13:25,19:00,29:35,2,No Info,27,6,2019,13,25,19,0,29,35,12819
Jet Airways,15/05/2019,Kolkata,Banglore,CCU / BOM / BLR,21:10,04:40,7:30,1,In-flight meal not included,15,5,2019,21,10,4,40,7,30,9663
SpiceJet,3/05/2019,Kolkata,Banglore,CCU / BLR,06:55,09:30,2:35,0,No check-in baggage included,3,5,2019,6,55,9,30,2,35,3841
IndiGo,27/06/2019,Delhi,Cochin,DEL / COK,05:35,08:50,3:15,0,No Info,27,6,2019,5,35,8,50,3,15,5000
Air India,01/03/2019,Banglore,New Delhi,BLR / CCU / GAU / DEL,05:50,22:10,16:20,2,Change airports,1,3,2019,5,50,22,10,16,20,13366
Vistara,6/03/2019,Mumbai,Hyderabad,BOM / DEL / HYD,21:55,16:45,18:50,1,No Info,6,3,2019,21,55,16,45,18,50,12395
Air India,15/05/2019,Kolkata,Banglore,CCU / GAU / BLR,16:45,21:05,28:20,1,No Info,15,5,2019,16,45,21,5,28,20,7452
Jet Airways,18/05/2019,Delhi,Cochin,DEL / BOM / COK,19:45,19:00,23:15,1,No Info,18,5,2019,19,45,19,0,23,15,15554
Jet Airways,6/05/2019,Kolkata,Banglore,CCU / DEL / BLR,17:00,15:05,22:5,1,No Info,6,5,2019,17,0,15,5,22,5,13067
IndiGo,1/03/2019,Kolkata,Banglore,CCU / BLR,15:10,17:45,2:35,0,No Info,1,3,2019,15,10,17,45,2,35,6565
SpiceJet,24/05/2019,Mumbai,Hyderabad,BOM / HYD,05:45,07:15,1:30,0,No check-in baggage included,24,5,2019,5,45,7,15,1,30,1965
SpiceJet,27/03/2019,Chennai,Kolkata,MAA / CCU,09:30,12:05,2:35,0,No check-in baggage included,27,3,2019,9,30,12,5,2,35,3332
IndiGo,21/03/2019,Banglore,New Delhi,BLR / LKO / DEL,05:25,10:10,4:45,1,No Info,21,3,2019,5,25,10,10,4,45,6208
Air India,18/03/2019,Banglore,New Delhi,BLR / GAU / DEL,13:50,18:40,28:50,1,No Info,18,3,2019,13,50,18,40,28,50,11161
Air India,12/06/2019,Kolkata,Banglore,CCU / DEL / COK / BLR,10:00,13:45,27:45,2,No Info,12,6,2019,10,0,13,45,27,45,12224
Jet Airways,1/05/2019,Kolkata,Banglore,CCU / BOM / BLR,18:55,12:00,17:5,1,In-flight meal not included,1,5,2019,18,55,12,0,17,5,9663
Jet Airways,18/03/2019,Banglore,New Delhi,BLR / BOM / DEL,08:55,15:15,6:20,1,No Info,18,3,2019,8,55,15,15,6,20,12284
Air India,27/05/2019,Delhi,Cochin,DEL / MAA / COK,17:20,09:25,16:5,1,No Info,27,5,2019,17,20,9,25,16,5,7480
Jet Airways,6/03/2019,Delhi,Cochin,DEL / BOM / COK,19:15,04:25,9:10,1,No Info,6,3,2019,19,15,4,25,9,10,17024
Jet Airways,6/06/2019,Kolkata,Banglore,CCU / DEL / BLR,20:25,19:10,22:45,1,No Info,6,6,2019,20,25,19,10,22,45,14151
IndiGo,21/06/2019,Kolkata,Banglore,CCU / BLR,17:15,19:50,2:35,0,No Info,21,6,2019,17,15,19,50,2,35,4804
IndiGo,18/05/2019,Delhi,Cochin,DEL / BOM / COK,16:00,21:00,5h,1,No Info,18,5,2019,16,0,21,0,5,0,6069
Vistara,21/03/2019,Banglore,New Delhi,BLR / AMD / DEL,06:40,21:55,15:15,1,No Info,21,3,2019,6,40,21,55,15,15,6065
Jet Airways,18/05/2019,Kolkata,Banglore,CCU / DEL / BLR,20:25,09:45,13:20,1,No Info,18,5,2019,20,25,9,45,13,20,14151
Jet Airways,24/03/2019,Kolkata,Banglore,CCU / BOM / BLR,18:55,12:00,17:5,1,No Info,24,3,2019,18,55,12,0,17,5,14231
Vistara,6/03/2019,Mumbai,Hyderabad,BOM / DEL / HYD,15:40,09:25,17:45,1,No Info,6,3,2019,15,40,9,25,17,45,12395
IndiGo,24/04/2019,Delhi,Cochin,DEL / MAA / COK,02:00,07:25,5:25,1,No Info,24,4,2019,2,0,7,25,5,25,5636
Air India,6/04/2019,Delhi,Cochin,DEL / BLR / COK,17:40,23:00,5:20,1,No Info,6,4,2019,17,40,23,0,5,20,5232
Jet Airways,1/06/2019,Delhi,Cochin,DEL / BOM / COK,14:00,04:25,14:25,1,No Info,1,6,2019,14,0,4,25,14,25,14714
IndiGo,6/05/2019,Chennai,Kolkata,MAA / CCU,07:55,10:15,2:20,0,No Info,6,5,2019,7,55,10,15,2,20,3850
Air India,27/05/2019,Delhi,Cochin,DEL / BLR / COK,17:40,09:35,15:55,1,No Info,27,5,2019,17,40,9,35,15,55,7258
Jet Airways,06/03/2019,Banglore,New Delhi,BLR / BOM / DEL,21:25,20:20,22:55,1,No Info,6,3,2019,21,25,20,20,22,55,17471
SpiceJet,9/05/2019,Banglore,Delhi,BLR / DEL,21:10,00:05,2:55,0,No Info,9,5,2019,21,10,0,5,2,55,4423
IndiGo,18/06/2019,Mumbai,Hyderabad,BOM / HYD,21:20,22:50,1:30,0,No Info,18,6,2019,21,20,22,50,1,30,2227
Multiple carriers,24/06/2019,Delhi,Cochin,DEL / BOM / COK,10:00,01:30,15:30,1,No Info,24,6,2019,10,0,1,30,15,30,13377
Jet Airways,12/06/2019,Banglore,Delhi,BLR / DEL,08:20,11:20,3h,0,No Info,12,6,2019,8,20,11,20,3,0,8016
Air India,09/03/2019,Banglore,New Delhi,BLR / HYD / DEL,06:50,08:50,26h,1,No Info,9,3,2019,6,50,8,50,26,0,5626
IndiGo,21/03/2019,Banglore,New Delhi,BLR / DEL,16:55,19:45,2:50,0,No Info,21,3,2019,16,55,19,45,2,50,6860
IndiGo,1/06/2019,Delhi,Cochin,DEL / BOM / COK,18:35,01:30,6:55,1,No Info,1,6,2019,18,35,1,30,6,55,6628
Jet Airways,6/06/2019,Delhi,Cochin,DEL / BOM / COK,13:00,12:35,23:35,1,In-flight meal not included,6,6,2019,13,0,12,35,23,35,11627
SpiceJet,9/06/2019,Kolkata,Banglore,CCU / BLR,17:10,19:40,2:30,0,No Info,9,6,2019,17,10,19,40,2,30,4174
Jet Airways,1/06/2019,Delhi,Cochin,DEL / BOM / COK,18:15,04:25,10:10,1,No Info,1,6,2019,18,15,4,25,10,10,14714
Jet Airways,12/05/2019,Kolkata,Banglore,CCU / DEL / BLR,09:35,21:05,11:30,1,No Info,12,5,2019,9,35,21,5,11,30,14151
Jet Airways,27/05/2019,Delhi,Cochin,DEL / BOM / COK,16:00,19:00,27h,1,In-flight meal not included,27,5,2019,16,0,19,0,27,0,12898
Jet Airways,18/05/2019,Delhi,Cochin,DEL / BOM / COK,21:50,04:25,6:35,1,In-flight meal not included,18,5,2019,21,50,4,25,6,35,12373
IndiGo,18/06/2019,Banglore,Delhi,BLR / DEL,10:10,13:00,2:50,0,No Info,18,6,2019,10,10,13,0,2,50,3943
Air Asia,9/06/2019,Kolkata,Banglore,CCU / IXR / DEL / BLR,15:10,23:30,8:20,2,No Info,9,6,2019,15,10,23,30,8,20,7870
Jet Airways,18/06/2019,Banglore,Delhi,BLR / DEL,18:55,22:00,3:5,0,No Info,18,6,2019,18,55,22,0,3,5,8016
Air India,15/05/2019,Delhi,Cochin,DEL / HYD / MAA / COK,13:05,09:25,20:20,2,No Info,15,5,2019,13,5,9,25,20,20,10975
IndiGo,27/05/2019,Chennai,Kolkata,MAA / CCU,07:55,10:15,2:20,0,No Info,27,5,2019,7,55,10,15,2,20,3850
IndiGo,18/06/2019,Kolkata,Banglore,CCU / BLR,20:25,23:10,2:45,0,No Info,18,6,2019,20,25,23,10,2,45,4804
Jet Airways,9/03/2019,Delhi,Cochin,DEL / BOM / COK,20:50,04:25,7:35,1,No Info,9,3,2019,20,50,4,25,7,35,15554
SpiceJet,18/03/2019,Kolkata,Banglore,CCU / BLR,06:55,09:35,2:40,0,No Info,18,3,2019,6,55,9,35,2,40,4465
Jet Airways,9/06/2019,Kolkata,Banglore,CCU / BOM / BLR,21:10,10:05,12:55,1,In-flight meal not included,9,6,2019,21,10,10,5,12,55,11841
Multiple carriers,9/03/2019,Delhi,Cochin,DEL / BOM / COK,08:00,19:15,11:15,1,No Info,9,3,2019,8,0,19,15,11,15,19332
SpiceJet,21/06/2019,Kolkata,Banglore,CCU / BLR,17:10,19:40,2:30,0,No check-in baggage included,21,6,2019,17,10,19,40,2,30,3841
IndiGo,12/04/2019,Banglore,Delhi,BLR / DEL,10:10,13:00,2:50,0,No Info,12,4,2019,10,10,13,0,2,50,4591
IndiGo,24/05/2019,Kolkata,Banglore,CCU / HYD / BLR,15:15,20:05,4:50,1,No Info,24,5,2019,15,15,20,5,4,50,5192
Jet Airways,9/06/2019,Delhi,Cochin,DEL / BOM / COK,18:15,12:35,18:20,1,In-flight meal not included,9,6,2019,18,15,12,35,18,20,10577
Jet Airways,18/05/2019,Delhi,Cochin,DEL / JAI / BOM / COK,19:30,04:25,8:55,2,No Info,18,5,2019,19,30,4,25,8,55,15129
Multiple carriers,6/06/2019,Delhi,Cochin,DEL / BOM / COK,06:00,19:00,13h,1,No Info,6,6,2019,6,0,19,0,13,0,11789
Air India,15/06/2019,Delhi,Cochin,DEL / BOM / COK,21:00,07:40,10:40,1,No Info,15,6,2019,21,0,7,40,10,40,8372
Multiple carriers,9/05/2019,Delhi,Cochin,DEL / BOM / COK,06:00,19:15,13:15,1,No Info,9,5,2019,6,0,19,15,13,15,8266
Jet Airways,6/05/2019,Kolkata,Banglore,CCU / BOM / BLR,06:30,19:50,13:20,1,No Info,6,5,2019,6,30,19,50,13,20,14781
Vistara,21/04/2019,Banglore,Delhi,BLR / DEL,17:00,19:35,2:35,0,No Info,21,4,2019,17,0,19,35,2,35,5613
Jet Airways,24/04/2019,Banglore,Delhi,BLR / DEL,15:15,18:10,2:55,0,No Info,24,4,2019,15,15,18,10,2,55,7229
IndiGo,24/06/2019,Delhi,Cochin,DEL / BOM / COK,08:30,21:00,12:30,1,No Info,24,6,2019,8,30,21,0,12,30,6093
Jet Airways,21/05/2019,Delhi,Cochin,DEL / BHO / BOM / COK,05:30,12:35,7:5,2,In-flight meal not included,21,5,2019,5,30,12,35,7,5,15544
GoAir,18/05/2019,Delhi,Cochin,DEL / AMD / COK,07:25,13:35,6:10,1,No Info,18,5,2019,7,25,13,35,6,10,6296
IndiGo,27/04/2019,Kolkata,Banglore,CCU / BLR,09:35,12:20,2:45,0,No Info,27,4,2019,9,35,12,20,2,45,4804
Air Asia,18/03/2019,Banglore,New Delhi,BLR / DEL,05:50,08:40,2:50,0,No Info,18,3,2019,5,50,8,40,2,50,4284
IndiGo,21/03/2019,Delhi,Cochin,DEL / HYD / COK,07:35,22:20,14:45,1,No Info,21,3,2019,7,35,22,20,14,45,6558
IndiGo,24/06/2019,Delhi,Cochin,DEL / LKO / COK,21:50,03:35,5:45,1,No Info,24,6,2019,21,50,3,35,5,45,5775
SpiceJet,21/06/2019,Chennai,Kolkata,MAA / CCU,08:20,10:35,2:15,0,No check-in baggage included,21,6,2019,8,20,10,35,2,15,3543
Jet Airways,6/03/2019,Delhi,Cochin,DEL / BOM / COK,09:55,18:50,8:55,1,No Info,6,3,2019,9,55,18,50,8,55,17024
Jet Airways,9/06/2019,Mumbai,Hyderabad,BOM / HYD,07:05,08:30,1:25,0,In-flight meal not included,9,6,2019,7,5,8,30,1,25,4050
Air India,6/03/2019,Mumbai,Hyderabad,BOM / BHO / DEL / HYD,06:00,15:15,33:15,2,No Info,6,3,2019,6,0,15,15,33,15,14219
Jet Airways,01/03/2019,Banglore,New Delhi,BLR / BOM / DEL,11:40,18:25,6:45,1,No Info,1,3,2019,11,40,18,25,6,45,26890
Air India,15/06/2019,Delhi,Cochin,DEL / AMD / BOM / COK,19:45,19:15,23:30,2,No Info,15,6,2019,19,45,19,15,23,30,9653
IndiGo,21/06/2019,Banglore,Delhi,BLR / DEL,06:05,08:50,2:45,0,No Info,21,6,2019,6,5,8,50,2,45,3943
Jet Airways,18/05/2019,Kolkata,Banglore,CCU / BOM / BLR,14:05,16:20,26:15,1,In-flight meal not included,18,5,2019,14,5,16,20,26,15,10844
Jet Airways,1/04/2019,Kolkata,Banglore,CCU / BOM / BLR,21:10,04:40,7:30,1,In-flight meal not included,1,4,2019,21,10,4,40,7,30,8849
IndiGo,12/06/2019,Mumbai,Hyderabad,BOM / HYD,01:40,03:10,1:30,0,No Info,12,6,2019,1,40,3,10,1,30,2754
Air India,21/03/2019,Delhi,Cochin,DEL / CCU / BOM / COK,06:50,19:15,36:25,2,No Info,21,3,2019,6,50,19,15,36,25,10756
Jet Airways,21/05/2019,Kolkata,Banglore,CCU / DEL / BLR,17:00,21:05,28:5,1,No Info,21,5,2019,17,0,21,5,28,5,14151
Jet Airways,12/06/2019,Kolkata,Banglore,CCU / BOM / BLR,08:25,20:45,12:20,1,In-flight meal not included,12,6,2019,8,25,20,45,12,20,9899
Jet Airways,21/03/2019,Delhi,Cochin,DEL / BOM / COK,22:00,04:25,6:25,1,No Info,21,3,2019,22,0,4,25,6,25,12242
Jet Airways,9/06/2019,Delhi,Cochin,DEL / JAI / BOM / COK,19:30,12:35,17:5,2,In-flight meal not included,9,6,2019,19,30,12,35,17,5,10368
IndiGo,24/05/2019,Mumbai,Hyderabad,BOM / HYD,09:10,10:40,1:30,0,No Info,24,5,2019,9,10,10,40,1,30,5755
Jet Airways,15/06/2019,Delhi,Cochin,DEL / BOM / COK,18:15,04:25,10:10,1,In-flight meal not included,15,6,2019,18,15,4,25,10,10,10262
SpiceJet,6/06/2019,Kolkata,Banglore,CCU / PNQ / BLR,08:35,17:15,8:40,1,No Info,6,6,2019,8,35,17,15,8,40,6643
Multiple carriers Premium economy,21/03/2019,Delhi,Cochin,DEL / BOM / COK,07:30,21:00,13:30,1,No Info,21,3,2019,7,30,21,0,13,30,9845
Jet Airways,24/03/2019,Kolkata,Banglore,CCU / BOM / BLR,18:55,12:00,17:5,1,In-flight meal not included,24,3,2019,18,55,12,0,17,5,11134
SpiceJet,1/06/2019,Delhi,Cochin,DEL / MAA / COK,06:05,11:20,5:15,1,No Info,1,6,2019,6,5,11,20,5,15,5583
IndiGo,15/05/2019,Delhi,Cochin,DEL / BOM / COK,16:00,21:00,5h,1,No Info,15,5,2019,16,0,21,0,5,0,6069
Jet Airways,12/03/2019,Banglore,New Delhi,BLR / BOM / DEL,05:45,20:20,14:35,1,No Info,12,3,2019,5,45,20,20,14,35,13817
Air India,6/03/2019,Delhi,Cochin,DEL / AMD / BOM / COK,05:00,19:15,38:15,2,No Info,6,3,2019,5,0,19,15,38,15,10283
Air India,24/03/2019,Kolkata,Banglore,CCU / GAU / BLR,09:50,21:05,11:15,1,No Info,24,3,2019,9,50,21,5,11,15,7795
Multiple carriers,9/03/2019,Delhi,Cochin,DEL / BOM / COK,00:20,07:40,7:20,1,In-flight meal not included,9,3,2019,0,20,7,40,7,20,13977
Jet Airways,1/06/2019,Delhi,Cochin,DEL / NAG / BOM / COK,06:45,04:25,21:40,2,In-flight meal not included,1,6,2019,6,45,4,25,21,40,10919
IndiGo,3/03/2019,Kolkata,Banglore,CCU / BLR,20:25,23:05,2:40,0,No Info,3,3,2019,20,25,23,5,2,40,6038
IndiGo,21/05/2019,Delhi,Cochin,DEL / COK,05:35,08:50,3:15,0,No Info,21,5,2019,5,35,8,50,3,15,5601
IndiGo,9/03/2019,Delhi,Cochin,DEL / BOM / COK,07:30,21:00,13:30,1,No Info,9,3,2019,7,30,21,0,13,30,12351
Air India,15/04/2019,Delhi,Cochin,DEL / COK,05:10,08:00,2:50,0,No Info,15,4,2019,5,10,8,0,2,50,6094
Multiple carriers,15/05/2019,Delhi,Cochin,DEL / BOM / COK,10:35,19:15,8:40,1,No Info,15,5,2019,10,35,19,15,8,40,7575
Jet Airways,27/05/2019,Delhi,Cochin,DEL / BOM / COK,21:50,04:25,6:35,1,No Info,27,5,2019,21,50,4,25,6,35,16079
Jet Airways,15/06/2019,Delhi,Cochin,DEL / BOM / COK,19:15,19:00,23:45,1,In-flight meal not included,15,6,2019,19,15,19,0,23,45,10262
Air Asia,9/06/2019,Delhi,Cochin,DEL / BLR / COK,16:45,22:25,5:40,1,No Info,9,6,2019,16,45,22,25,5,40,13470
Jet Airways,27/06/2019,Banglore,Delhi,BLR / DEL,11:10,14:05,2:55,0,No Info,27,6,2019,11,10,14,5,2,55,8016
Jet Airways,9/03/2019,Delhi,Cochin,DEL / BOM / COK,18:15,18:50,24:35,1,No Info,9,3,2019,18,15,18,50,24,35,16289
Jet Airways,6/06/2019,Delhi,Cochin,DEL / BOM / COK,19:45,04:25,8:40,1,In-flight meal not included,6,6,2019,19,45,4,25,8,40,10262
IndiGo,27/06/2019,Banglore,Delhi,BLR / DEL,18:25,21:20,2:55,0,No Info,27,6,2019,18,25,21,20,2,55,4823
Vistara,9/04/2019,Banglore,Delhi,BLR / DEL,09:45,12:35,2:50,0,No Info,9,4,2019,9,45,12,35,2,50,5403
Jet Airways,18/05/2019,Delhi,Cochin,DEL / BOM / COK,17:30,19:00,25:30,1,In-flight meal not included,18,5,2019,17,30,19,0,25,30,12373
SpiceJet,6/03/2019,Mumbai,Hyderabad,BOM / JLR / HYD,14:10,22:25,8:15,1,No Info,6,3,2019,14,10,22,25,8,15,13552
Jet Airways,9/05/2019,Kolkata,Banglore,CCU / BOM / BLR,08:25,20:45,12:20,1,In-flight meal not included,9,5,2019,8,25,20,45,12,20,10844
Air India,6/03/2019,Mumbai,Hyderabad,BOM / JDH / DEL / HYD,09:40,23:45,14:5,2,No Info,6,3,2019,9,40,23,45,14,5,22619
Multiple carriers,27/05/2019,Delhi,Cochin,DEL / BOM / COK,10:35,19:15,8:40,1,No Info,27,5,2019,10,35,19,15,8,40,8625
IndiGo,24/03/2019,Banglore,New Delhi,BLR / DEL,06:00,08:45,2:45,0,No Info,24,3,2019,6,0,8,45,2,45,4777
IndiGo,21/06/2019,Delhi,Cochin,DEL / COK,05:35,08:50,3:15,0,No Info,21,6,2019,5,35,8,50,3,15,5000
Jet Airways,6/03/2019,Delhi,Cochin,DEL / AMD / BOM / COK,19:10,19:45,24:35,2,No Info,6,3,2019,19,10,19,45,24,35,21954
Jet Airways,3/06/2019,Delhi,Cochin,DEL / BOM / COK,11:30,04:25,16:55,1,In-flight meal not included,3,6,2019,11,30,4,25,16,55,11627
Jet Airways,24/05/2019,Kolkata,Banglore,CCU / BOM / BLR,14:05,04:40,14:35,1,No Info,24,5,2019,14,5,4,40,14,35,13731
IndiGo,3/04/2019,Banglore,Delhi,BLR / DEL,22:10,01:00,2:50,0,No Info,3,4,2019,22,10,1,0,2,50,3943
Jet Airways,21/03/2019,Banglore,New Delhi,BLR / BOM / DEL,08:55,23:00,14:5,1,In-flight meal not included,21,3,2019,8,55,23,0,14,5,6992
Jet Airways,6/05/2019,Kolkata,Banglore,CCU / BOM / BLR,18:55,04:40,9:45,1,No Info,6,5,2019,18,55,4,40,9,45,13941
Jet Airways,12/06/2019,Delhi,Cochin,DEL / BOM / COK,08:00,19:00,11h,1,No Info,12,6,2019,8,0,19,0,11,0,14924
Jet Airways,27/06/2019,Delhi,Cochin,DEL / BOM / COK,02:15,12:35,10:20,1,No Info,27,6,2019,2,15,12,35,10,20,18371
IndiGo,3/03/2019,Chennai,Kolkata,MAA / CCU,19:35,21:55,2:20,0,No Info,3,3,2019,19,35,21,55,2,20,7295
Air India,09/03/2019,Banglore,New Delhi,BLR / GOI / DEL,17:00,16:40,23:40,1,No Info,9,3,2019,17,0,16,40,23,40,9292
Jet Airways,1/05/2019,Kolkata,Banglore,CCU / BOM / BLR,20:00,08:15,12:15,1,No Info,1,5,2019,20,0,8,15,12,15,13941
IndiGo,24/03/2019,Kolkata,Banglore,CCU / HYD / BLR,04:15,09:50,5:35,1,No Info,24,3,2019,4,15,9,50,5,35,4150
Jet Airways,1/04/2019,Kolkata,Banglore,CCU / BOM / BLR,20:00,23:35,27:35,1,No Info,1,4,2019,20,0,23,35,27,35,12681
IndiGo,3/06/2019,Delhi,Cochin,DEL / COK,05:35,08:50,3:15,0,No Info,3,6,2019,5,35,8,50,3,15,5601
Air India,21/05/2019,Kolkata,Banglore,CCU / GAU / DEL / BLR,09:50,08:55,23:5,2,No Info,21,5,2019,9,50,8,55,23,5,14960
Multiple carriers,6/06/2019,Delhi,Cochin,DEL / BOM / COK,16:00,01:30,9:30,1,No Info,6,6,2019,16,0,1,30,9,30,13377
IndiGo,21/03/2019,Mumbai,Hyderabad,BOM / HYD,12:00,13:25,1:25,0,No Info,21,3,2019,12,0,13,25,1,25,3342
Jet Airways,6/06/2019,Banglore,Delhi,BLR / DEL,11:10,14:05,2:55,0,No Info,6,6,2019,11,10,14,5,2,55,8016
Jet Airways,06/03/2019,Banglore,New Delhi,BLR / BOM / DEL,05:45,23:00,17:15,1,No Info,6,3,2019,5,45,23,0,17,15,16736
Jet Airways,24/03/2019,Kolkata,Banglore,CCU / BOM / BLR,21:10,19:40,22:30,1,In-flight meal not included,24,3,2019,21,10,19,40,22,30,10031
Air India,21/04/2019,Delhi,Cochin,DEL / BLR / COK,20:30,08:15,11:45,1,No Info,21,4,2019,20,30,8,15,11,45,7258
Jet Airways,15/05/2019,Banglore,Delhi,BLR / DEL,06:00,08:45,2:45,0,In-flight meal not included,15,5,2019,6,0,8,45,2,45,4030
Air India,24/06/2019,Delhi,Cochin,DEL / CCU / BOM / COK,14:25,19:15,28:50,2,No Info,24,6,2019,14,25,19,15,28,50,13381
Jet Airways,24/05/2019,Delhi,Cochin,DEL / AMD / BOM / COK,23:05,04:25,29:20,2,No Info,24,5,2019,23,5,4,25,29,20,16704
Multiple carriers,24/06/2019,Delhi,Cochin,DEL / BOM / COK,09:00,21:00,12h,1,No Info,24,6,2019,9,0,21,0,12,0,13587
Jet Airways,24/05/2019,Mumbai,Hyderabad,BOM / HYD,02:55,04:20,1:25,0,No Info,24,5,2019,2,55,4,20,1,25,5678
Jet Airways,1/04/2019,Kolkata,Banglore,CCU / BOM / BLR,06:30,09:20,26:50,1,In-flight meal not included,1,4,2019,6,30,9,20,26,50,7064
IndiGo,3/06/2019,Mumbai,Hyderabad,BOM / HYD,01:40,03:10,1:30,0,No Info,3,6,2019,1,40,3,10,1,30,2754
Vistara,1/05/2019,Banglore,Delhi,BLR / DEL,09:45,12:35,2:50,0,No Info,1,5,2019,9,45,12,35,2,50,4668
Air Asia,21/06/2019,Kolkata,Banglore,CCU / BLR,19:55,22:25,2:30,0,No Info,21,6,2019,19,55,22,25,2,30,4107
IndiGo,12/06/2019,Delhi,Cochin,DEL / BOM / COK,04:55,21:00,16:5,1,No Info,12,6,2019,4,55,21,0,16,5,5894
Jet Airways,6/06/2019,Delhi,Cochin,DEL / BOM / COK,17:30,04:25,10:55,1,In-flight meal not included,6,6,2019,17,30,4,25,10,55,10262
Jet Airways,9/05/2019,Kolkata,Banglore,CCU / BOM / BLR,16:30,08:15,15:45,1,No Info,9,5,2019,16,30,8,15,15,45,13941
Air Asia,27/04/2019,Delhi,Cochin,DEL / BLR / COK,16:45,07:10,14:25,1,No Info,27,4,2019,16,45,7,10,14,25,6451
Air India,27/06/2019,Delhi,Cochin,DEL / HYD / MAA / COK,09:45,09:25,23:40,2,No Info,27,6,2019,9,45,9,25,23,40,10975
Air India,6/03/2019,Delhi,Cochin,DEL / JAI / BOM / COK,12:00,07:40,19:40,2,No Info,6,3,2019,12,0,7,40,19,40,14746
Air Asia,6/06/2019,Delhi,Cochin,DEL / BLR / COK,20:45,07:10,10:25,1,No Info,6,6,2019,20,45,7,10,10,25,11410
SpiceJet,1/05/2019,Kolkata,Banglore,CCU / BLR,06:55,09:30,2:35,0,No check-in baggage included,1,5,2019,6,55,9,30,2,35,3841
Air India,3/06/2019,Delhi,Cochin,DEL / CCU / BOM / COK,06:50,07:40,24:50,2,No Info,3,6,2019,6,50,7,40,24,50,13381
Multiple carriers,9/05/2019,Delhi,Cochin,DEL / BOM / COK,11:30,01:30,14h,1,No Info,9,5,2019,11,30,1,30,14,0,15078
Air India,9/05/2019,Kolkata,Banglore,CCU / BOM / BLR,09:25,18:30,9:5,1,No Info,9,5,2019,9,25,18,30,9,5,8891
Jet Airways,9/05/2019,Kolkata,Banglore,CCU / BOM / BLR,14:05,10:05,20h,1,In-flight meal not included,9,5,2019,14,5,10,5,20,0,7757
Air India,9/04/2019,Banglore,Delhi,BLR / DEL,05:45,08:45,3h,0,No Info,9,4,2019,5,45,8,45,3,0,4441
Jet Airways,24/03/2019,Kolkata,Banglore,CCU / BOM / BLR,19:45,18:10,22:25,1,In-flight meal not included,24,3,2019,19,45,18,10,22,25,10031
